Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"19900101January, 1990",29.7,19.7,39.7,0.88,"1,094",
"19891201December, 1989",13.8,4,23.5,0.36,"1,583",
"19891101November, 1989",33.5,21.7,45.3,0.27,933,
"19891001October, 1989",52.2,39.1,65.2,1.92,402,6
"19890901September, 1989",60.5,48.5,72.5,4.84,168,31
"19890801August, 1989",71.2,59.9,82.4,3.58,22,211
"19890701July, 1989",75,63.8,86.2,3.34,5,315
"19890601June, 1989",67.7,56,79.3,3.36,52,132
"19890501May, 1989",59.1,46,72.2,2.57,231,42
"19890401April, 1989",49.3,36.8,61.7,2.09,482,
"19890301March, 1989",33.7,23.7,43.6,0.9,966,
"19890201February, 1989",14.1,3.9,24.3,0.54,"1,421",
"19890101January, 1989",29.1,19.9,38.3,0.92,"1,109",
"19881201December, 1988",25.4,15.3,35.5,0.8,"1,220",
"19881101November, 1988",37.4,27.6,47.1,2.61,825,
"19881001October, 1988",46,33.5,58.4,0.65,593,
"19880901September, 1988",64.7,52,77.4,3.61,89,83
"19880801August, 1988",75.8,63.2,88.5,4.13,3,348
"19880701July, 1988",75.5,62.7,88.4,2.26,3,340
"19880601June, 1988",73.8,59.8,87.9,1.72,11,267
"19880501May, 1988",65.2,51.2,79.3,1.77,119,118
"19880401April, 1988",48.5,34.8,62.2,1.91,493,
"19880301March, 1988",37.8,25.5,50.1,0.79,845,
"19880201February, 1988",18.7,8.3,29.1,0.47,"1,292",
"19880101January, 1988",15.6,5.6,25.7,0.76,"1,524",
"19871201December, 1987",28.1,21.5,34.6,1.8,"1,139",
"19871101November, 1987",41,32.4,49.6,2.64,713,
"19871001October, 1987",46.3,33.8,58.8,0.78,579,
"19870901September, 1987",62.8,51.2,74.4,2.58,122,56
"19870801August, 1987",69.9,59.8,80,7.66,29,191
"19870701July, 1987",76.3,65.5,87.2,5.21,1,357
"19870601June, 1987",73,60.9,85,2.54,13,250
"19870501May, 1987",65.3,52.6,78,3.97,114,122
"19870401April, 1987",52.9,39.4,66.5,1.92,371,7
"19870301March, 1987",40.4,30.2,50.6,3.17,760,1
"19870201February, 1987",33.8,22.7,44.9,0.26,878,
"19870101January, 1987",24.4,15.8,33.1,0.32,"1,261",
"19861201December, 1986",26,19.1,33,0.81,"1,203",
"19861101November, 1986",31.3,21.6,41.1,1.15,"1,003",
"19861001October, 1986",51.3,41.2,61.5,3.77,427,5
"19860901September, 1986",64.7,55.1,74.4,6.79,88,86
"19860801August, 1986",67,56.3,77.7,3.92,63,124
"19860701July, 1986",75.3,65.1,85.5,5.05,3,325
"19860601June, 1986",71.4,60.4,82.3,4.65,22,207
"19860501May, 1986",60.9,50.2,71.6,5.62,188,62
"19860401April, 1986",51.9,40,63.8,4.57,389,6
